# Episode 1
un genio; a genius
el pelo; the hair
la cara; the face
el gitano; gypsy (m)
la gitana; gypsy (f)
la poema; poem
la canción; song
las mejores empanadas del mundo; the best empanadas in the world
un anciano; an elderly man
una anciana; an elderly woman
estoy devorando unas empanadas; I am devouring some empanadas
cuando llega la mamá; when the mom arrived
preparado para el cuento; ready for the story
el primer capítulo; the first chapter
el periodista / la periodista; the journalist
el paquete; the package
hago lo que cualquier persona hace; i do what any person does
el objeto; the object
la entrada; the entrance
con mi pie; with my foot
investigar; to investigate
llegue un paquete para mi; a package arrived for me
they live alone in the mountains; viven solos en las montañas
la barba; the beard
eso está en el pasado; that is in the past
una advertencia; a warning
soy escritor fantasma; I am a ghost writer
Gano solo suficiente para sobrevivir; I earn only enough to survive
yo estoy aislado; i am isolated
cada día; each day
una sorpresa; a surprise
un desastre; a disaster
sin duda; no doubt
Ya no hay marcha atrás; There's no turning back
# Episode 2
antiguo; old/ancient
obviamente; obviously
actriz; actress
cantante; singer
ella está casada con un hombre; she is married to a man
no llores por mi; don't cry for me
mi alma; my soul
la leyenda; the legend
qué voz apasionada; what a passionate voice
estoy de acuerdo contigo; i agree with you
estamos sentados; we are sitting down
eres listo; you are clever
estás en las nubes; you are in the clouds
una broma; a joke
otro juego antes de terminar; another game before finishing
dime; tell me
tratando de escapar; trying to escape
estas segura?; are you sure?
repasemos; let's review (go over it)
estoy dudoso; i am doubtful
nuestros oyentes; our listeners
un camino accidentado; a rough/bumpy road
la nevera no funciona; the fridge doesn't work
edeficio; building
es más como un refugio; it's more like a refuge
sin direcciones; without addresses
tiene que ser una broma; it has to be a joke
no existe otra posible explicación; there is no other possible explanation
digo; i say
nadie tiene motivo para enviarme nada; no one has motivation to send me anything
con cada minuto que pasa; with every minute that passes
algo valioso; something valuable
el peor de los casos; the worst case
los objetos aparecen; the objects appear
abro el paquete delicadamente; i open the package delicately
una enorme pluma de color verde; an enormous green feather
jamás he visto; never have i seen
un roca; a rock
docenas; dozens
rosado/a; pink
dónde está mi mente; where is my mind
tesoros; treasures
dentro de este paquete; inside this package
# Episode 3
qué es esta música extraña?; what is this strange music?
oscuro/a; dark
mi bebida preferida; my favorite drink
gracias por el repaso; thanks for the review
un café negro, amargo y frío; a black, bitter and cold coffee
un verano divertido; a fun summer
de vez en cuando; occasionally / from time to time
con leche descremada; with skim milk
azúcar morena; brown sugar
carísimo; very expensive
un precio increíble; an unbelievable price
algunos granos de cafe; some coffee beans
la mitad del dinero; half of the money
yo estoy distraída; I am distracted
barato; cheap
primer, segundo, tercer; first, second, third
lejos; far
la calidad es mala; the quality is poor
tus gafas del sol; your sunglasses
alguno; some
suficiente / bastante; enough
cuanto; how many / as much
demasiado; too much
más; more
menos; less
ninguno; none
varios / varias; various / several
una sonrisa; a smile
unas monedas; some coins
no hay nada más adentro; there is nothing more inside
extraña; strange
dorado; golden
peor aún; even worse
en lugar de; instead of
de pronto; suddenly
enterrado; buried
hace años; years ago
al día siguiente; the next day
si estos objetos tienen algún valor; if these objects have some value
para ver a Marta; to see Marta
varios temas científicos; various scientific topics
una de las pocas personas que aún habla conmigo; one of the few people who still speak with me
socios de negocios; business partners
el mercado negro; the black market
nadie se lastima; no one gets hurt
una voz familiar; a familiar voice
# Episode 4
enseñar; to teach
esperar; to wait
llegar; to arrive
un poco de todo; a little of everything
espera!; wait!
aprendí a bailar; I learned to dance
qué pasó?; what happened?
llegó la hora de la verdad; the moment of truth came
me senté y esperé; I sat and waited
finalmente, tocaron salsa; finally they played salsa
salté de mi silla; I jumped out of my chair
hasta el amanecer; until dawn
no me vas a creer; you are not going to believe me
dónde encontraste esa música?; where did you find that music?
viajamos al pasado; let's travel to the past
con una amiga que me enseñó a bailar; with a friend who taught me to dance
para subir al cielo, se necesita una escalera grande; to ascend to heaven, you need a big staircase
cuando bailaste la bamba, subiste al cielo?; when you danced la bamba, did you ascend to heaven?
ustedes se divirieron; you all had fun
qué crees? / qué piensas?; what do you think?
ustedes necesitan escuchar para saber qué pasa; you all need to listen to know what happens
comí; I ate
comiste; you ate
él comió; he ate
nosotros comimos; we ate
ellos comieron; they ate
hablé; I talked
hablaste; you talked
ella habló; she talked
nosotros hablamos (en el pasado); we talked
ellos hablaron; they talked
yo viví; I lived
viviste; you lived
usted vivió; you lived (formal)
ellos vivieron; they lived
vamos al grano; "let's get down to business"
ella dejó de actuar; she dropped the act
qué ofreces?; what are you offering?
está envuelto en papel; it is wrapped in paper
inusual; unusual
su admiración desapareció; her admiration disappeared
a ver si te comprendo; let's see if I understand you
encontraste un poco de basura; you found a bit of trash
a quien no veo desde hace más de dos meses; who I have not seen since more than two months ago
malgastar su tiempo; to waste his/her time
qué opinas?; what is your opinion?
un par; a pair
ojitos tristes; sad eyes
ella suspiró; she sighed
yo suspiré; I sighed
no te prometer nada; I'm not promising you anything
ella tiene razón; she's right
aún soñando despierto; still daydreaming
una pila de sobres; a pile of envelopes
# Episode 5
un amante de los viajes; a lover of traveling
naturaleza; nature
estás interesado?; are you interested?
hablas en serio?; are you serious?
soy una persona abierta; I'm an open(-minded) person
ese lugar existe; that place exists
ella está acostumbrada a...; she is accustomed to...
estás lista para empezar la lección?; are you (f) ready to start the lesson?
fue bello mientras duró; it was beautiful while it lasted
un hombre de poco fe; a man of little faith
le selva; the jungle
el bosque; the forest
estás en lo correcto de nuevo; "you're right again"
fui un tonto; i was an idiot
animales salvajes; wild animals
estás llena de sorpresas; you are full of surprises
no recuerdo; i don't remember
linda; cute
bella; beautiful
hermosa; gorgeous
bonita; pretty
estuve un poco nervioso; i was a little nervous
el sobre; the envelope
un paquete puede llegar por error; a package can arrive by error
abandoné esa noción; I abandoned that notion
por un breve momento; for a brief moment
dentro del sobre; inside the envelope
fue entonces que noté el nombre; it was then that I noticed the name
no funcionó; it didn't work
no pude dejar de pensar que...; i couldn't stop thinking that...
aún había algo adentro; it still had something inside
redondo/a; round
mi teléfono timbró; my phone rang
fue Marta quien llamó; it was Marta who called
se para en una pata; it stands on one leg
# Episode 6
tengo una historia para ti; I have a story for you
soy toda oídos; I'm all ears
tormentoso/a; stormy
tienes que oír un poco más; you have to hear a little more
no te doy permiso; I don't give you permission
vas a ver; you'll see
yo no tengo miedo; I'm not scared
intentar; to try
trater de; to attempt
vamos a intentar esta combinación; let's try this combination
alrededor de la fogata; around the campfire
la fogata; the campfire / bonfire
las leyendas nos dan una perspectiva; the legends give us a perspective
un lugar y sus personas; a place and its people
es conocida en todo latinoamérica; it's known in all of latin america
esa historia me da "piel de gallina"; that story gives me goosebumps (chicken skin)
él dice que ella tuvo celos de...; he says that she was jealous of...
su marido siempre les dio más atención; her husband always gave them more attention
Vieron lo que Ceci y yo hicimos?; Did you see what Ceci and I did?
tuve sueño; I was sleepy
tuviste miedo; you were scared
él tuvo celos; he was jealous
nosotros tuvimos prisa; we were in a hurry
tuvieron suerte; they were lucky
fui todo oídos; I was all ears
fui al banco; I went to the bank
estuve feliz; I was happy
tu siempre fuiste el más veloz; you were always the fastest
